Model_Type,Sample_Rate,File_Name,pesq,stoi
44khz,44100,0016.wav,3.770664930343628,0.9040405548292637
44khz,44100,0016.wav,3.78135347366333,0.9648340836621628
44khz,44100,0016.wav,4.112781524658203,0.9583156058945304
44khz,44100,0016.wav,3.7958269119262695,0.9509242056315156
44khz,44100,0016.wav,3.8028388023376465,0.8925605449083913
44khz,44100,0016.wav,3.7484681606292725,0.9297213496911405
44khz,44100,0016.wav,3.788604497909546,0.880776186706894
44khz,44100,0016.wav,3.9433884620666504,0.9631628298166081
44khz,44100,0016.wav,3.691378116607666,0.8915025851432977
44khz,44100,0016.wav,3.4450430870056152,0.9097238191766469
44khz,44100,0016.wav,3.960618734359741,0.925352622211895
44khz,44100,0016.wav,3.2561771869659424,0.849634133817767
44khz,44100,0016.wav,3.658891201019287,0.9597576248795725
44khz,44100,0016.wav,4.023382186889648,0.9129916764636744
44khz,44100,0016.wav,3.677239179611206,0.8468756136829436
44khz,44100,0016.wav,3.8030447959899902,0.9605157499250688
44khz,44100,0016.wav,3.9976413249969482,0.9561271419562036
44khz,44100,0016.wav,3.6562180519104004,0.8883412943093871
44khz,44100,0016.wav,3.6465015411376953,0.9712411494951939
44khz,44100,0016.wav,3.8901431560516357,0.9701395350020547
44khz,44100,0016.wav,3.7730956077575684,0.8963818312680331
44khz,44100,0016.wav,3.354764938354492,0.8895074385881294
44khz,44100,0016.wav,3.8277454376220703,0.87002024927766
44khz,44100,0016.wav,4.116772174835205,0.9141436342829893
44khz,44100,0016.wav,3.852727174758911,0.9139216055035524
44khz,44100,0016.wav,3.9798929691314697,0.9389859255156234
44khz,44100,0016.wav,3.9476511478424072,0.9690269118510276
44khz,44100,0016.wav,3.844356060028076,0.8784919882468907
44khz,44100,0016.wav,3.6982057094573975,0.9565746579717341
44khz,44100,0016.wav,3.9155073165893555,0.9563463333579854
44khz,44100,0016.wav,3.6371347904205322,0.8593421820946733
44khz,44100,0016.wav,3.715660572052002,0.9127606220979306
44khz,44100,0016.wav,3.784555673599243,0.9581618823677469
44khz,44100,0016.wav,3.7805771827697754,0.9217536893136454
44khz,44100,0016.wav,3.3601584434509277,0.8840653070540386
44khz,44100,0016.wav,3.7271530628204346,0.9223962946834855
44khz,44100,0016.wav,4.045574188232422,0.8784337791237905
44khz,44100,0016.wav,2.316215991973877,0.8968079258458679
44khz,44100,0016.wav,3.703789710998535,0.923284172654476
44khz,44100,0016.wav,3.425759792327881,0.8850184844107744
44khz,44100,0016.wav,3.8398663997650146,0.9521604073979437
44khz,44100,0016.wav,3.8115921020507812,0.902674301562649
44khz,44100,0016.wav,3.796574831008911,0.9271710940139674
44khz,44100,0016.wav,3.8207333087921143,0.898921694042622
44khz,44100,0016.wav,3.767887830734253,0.9078497859042862
44khz,44100,0016.wav,3.7167887687683105,0.9583071826106462
44khz,44100,0016.wav,3.9292163848876953,0.8879939828864848
44khz,44100,0016.wav,3.803753614425659,0.9608346512137211
44khz,44100,0016.wav,3.4159390926361084,0.7505296018585006
44khz,44100,0016.wav,3.6707637310028076,0.9235968664845292
44khz,44100,0016.wav,3.8653547763824463,0.9089652505220679
44khz,44100,0016.wav,3.962479829788208,0.8612119538669961
44khz,44100,0016.wav,3.912656784057617,0.8949201578602596
44khz,44100,0016.wav,3.97739839553833,0.8983910389077537
44khz,44100,0016.wav,3.877082347869873,0.9415281323798489
44khz,44100,0016.wav,3.797682285308838,0.9645123588069452
44khz,44100,0016.wav,3.612065553665161,0.9353133623257349
44khz,44100,0016.wav,3.995882034301758,0.9720498114625313
44khz,44100,0016.wav,4.082829475402832,0.9218023011864421
44khz,44100,0016.wav,3.6977603435516357,0.8895572329114169
44khz,44100,0016.wav,4.064773082733154,0.8860027649612765
44khz,44100,0016.wav,4.262820720672607,0.9599196241668074
44khz,44100,0016.wav,3.827260971069336,0.8579853825202005
44khz,44100,0016.wav,4.071053504943848,0.8837951822408247
44khz,44100,0016.wav,3.7133584022521973,0.8864089303673334
44khz,44100,0016.wav,3.547196865081787,0.9255171073134323
44khz,44100,0016.wav,3.8734865188598633,0.8989431551739259
44khz,44100,0016.wav,3.938438653945923,0.8821431460919922
44khz,44100,0016.wav,3.4871444702148438,0.9369568688934512
44khz,44100,0016.wav,3.726672649383545,0.9308106273144554
44khz,44100,0016.wav,3.82147479057312,0.9536224169122246
44khz,44100,0016.wav,4.089676856994629,0.9154478687178929
44khz,44100,0016.wav,3.8147473335266113,0.9495098786008537
44khz,44100,0016.wav,3.7505149841308594,0.9115598821958237
44khz,44100,0016.wav,3.873082160949707,0.8987668763831592
44khz,44100,0016.wav,3.775974750518799,0.8855655481020903
44khz,44100,0016.wav,3.8747198581695557,0.8958209938653894
44khz,44100,0016.wav,3.752079725265503,0.962359870758951
44khz,44100,0016.wav,3.2345800399780273,0.9057191635042802
44khz,44100,0016.wav,3.580584764480591,0.93619096929736
44khz,44100,0016.wav,3.4704384803771973,0.9489775982879088
44khz,44100,0016.wav,3.7476000785827637,0.9126298970662509
44khz,44100,0016.wav,4.124399662017822,0.9472843398820268
44khz,44100,0016.wav,3.7673754692077637,0.8605127730401486
44khz,44100,0016.wav,4.175497531890869,0.9297455079898399
44khz,44100,0016.wav,4.189585208892822,0.9699458729419844
44khz,44100,0016.wav,3.857802391052246,0.8951373807018964
44khz,44100,0016.wav,4.0014848709106445,0.9034725152967711
44khz,44100,0016.wav,4.121877193450928,0.8840806656951723
44khz,44100,0016.wav,3.856374740600586,0.9423461822177684
44khz,44100,0016.wav,3.459745407104492,0.8603241655983297
44khz,44100,0016.wav,3.7031517028808594,0.9122462029010968
44khz,44100,0016.wav,3.3485562801361084,0.8955418616943025
44khz,44100,0016.wav,3.6994266510009766,0.8497290413764482
44khz,44100,0016.wav,3.747380018234253,0.9286688346065239
44khz,44100,0016.wav,4.114867687225342,0.972940148486602
44khz,44100,0016.wav,4.098783493041992,0.9134712971610899
44khz,44100,0016.wav,3.5478880405426025,0.9316676374726928
44khz,44100,0016.wav,4.02307653427124,0.885196736480489
44khz,44100,0016.wav,3.764134407043457,0.8886387293123809
44khz,44100,0016.wav,3.6720478534698486,0.906357283609683
44khz,44100,0016.wav,3.904601573944092,0.8979007933832199
44khz,44100,0016.wav,3.8274166584014893,0.8785025698751755
44khz,44100,0016.wav,3.9208977222442627,0.8769367607950707
44khz,44100,0016.wav,3.2724320888519287,0.8690692534692273
44khz,44100,0016.wav,3.8134138584136963,0.8842525795852675
44khz,44100,0016.wav,3.5047895908355713,0.8914718962617039
44khz,44100,0016.wav,3.8592095375061035,0.9581420329048179
44khz,44100,0016.wav,3.8237509727478027,0.9329502754238966
44khz,44100,0016.wav,4.1450419425964355,0.9128872717107542
44khz,44100,0016.wav,3.707913637161255,0.9576259800248303
44khz,44100,0016.wav,3.4612345695495605,0.8599445689602976
44khz,44100,0016.wav,3.644817590713501,0.8440483261017112
44khz,44100,0016.wav,3.8859641551971436,0.9563292098238898
44khz,44100,0016.wav,3.9665133953094482,0.9272743689994964
44khz,44100,0016.wav,4.304658889770508,0.9102854612727642
44khz,44100,0016.wav,4.232578754425049,0.9782760944101714
44khz,44100,0016.wav,3.807451009750366,0.8653355184838106
44khz,44100,0016.wav,3.8292531967163086,0.9615562761850512
44khz,44100,0016.wav,3.8891894817352295,0.8931279067082374
44khz,44100,0016.wav,3.784226894378662,0.870502284930663
44khz,44100,0016.wav,3.5849337577819824,0.9432976352746049
44khz,44100,0016.wav,3.487581968307495,0.9056799871406883
44khz,44100,0016.wav,3.766444444656372,0.9610287053495232
44khz,44100,0016.wav,3.778649091720581,0.9386594090564556
44khz,44100,0016.wav,3.5207502841949463,0.8692438019909707
44khz,44100,0016.wav,3.859546184539795,0.9327850943663147
44khz,44100,0016.wav,3.5903003215789795,0.9113148176806609
44khz,44100,0016.wav,3.7905161380767822,0.9157493871391431
44khz,44100,0016.wav,3.6415178775787354,0.9044340722848976
